127,6
127,7
127,8
127,9
127,13
127,14
128,1
128,2
128,4
128,8
128,9
128,10
128,13
128,15
129,1
129,2
129,3
129,4
129,6
129,8
129,9
129,13
129,14
130,1
130,3
130,6
130,8
130,9
130,12
130,13
131,1
131,2
131,3
131,4
131,5
131,6
131,8
131,9
131,11
131,14
132,2
132,4
132,6
132,9
132,12
132,13
133,2
133,3
133,5
133,6
133,8
133,9
133,13
133,14
134,3
134,4
134,6
134,8
134,13
135,1
135,3
135,4
135,6
135,8
135,9
135,13
136,1
136,2
136,3
136,4
136,6
136,9
136,13
136,14
137,1
137,2
137,3
137,4
137,6
137,8
137,10
137,13
138,1
138,2
138,3
138,4
138,6
138,8
138,9
138,13
138,14
139,2
139,3
139,6
139,8
139,9
139,13
139,14
140,1
140,2
140,3
140,4
140,8
140,9
140,13
141,4
141,6
141,8
141,9
141,13
141,14
142,1
142,3
142,4
142,8
142,9
142,10
142,13
143,1
143,2
143,3
143,5
143,6
143,8
143,12
143,13
144,3
144,4
144,5
144,6
144,13
145,1
145,2
145,4
145,6
145,7
145,8
145,9
145,13
145,14
146,1
146,2
146,3
146,6
146,8
146,9
146,13
146,14
147,1
147,2
147,6
147,8
147,9
147,13
147,14
148,2
148,3
148,4
148,5
148,6
148,13
148,14
149,1
149,3
149,4
149,6
149,7
149,13
150,1
150,2
150,3
150,4
150,6
150,9
150,13
150,14
151,1
151,2
151,3
151,4
151,8
151,9
151,11
151,13
152,3
152,6
152,8
152,11
152,13
152,14
153,1
153,2
153,4
153,6
153,8
153,9
153,11
153,13
154,1
154,2
154,3
154,4
154,5
154,8
154,9
154,10
154,13
155,1
155,2
155,4
155,5
155,6
155,13
155,14
156,1
156,2
156,4
156,6
156,8
156,9
156,13
157,1
157,4
157,6
157,9
157,13
157,15
158,1
158,3
158,6
158,8
158,9
158,13
159,3
159,4
159,5
159,6
159,8
159,9
159,10
159,13
159,15
160,1
160,2
160,3
160,4
160,5
160,6
160,8
160,9
160,13
160,15
161,1
161,4
161,6
161,9
161,10
161,12
161,13
162,1
162,2
162,3
162,4
162,6
162,8
162,9
163,1
163,2
163,3
163,4
163,6
163,8
163,9
164,2
164,4
164,5
164,6
164,8
164,9
164,13
165,1
165,3
165,4
165,6
165,8
165,9
165,10
165,13
165,14
165,15
166,1
166,4
166,5
166,6
166,9
166,14
167,1
167,2
